id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
28,Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,12,7,2916.667,243.056,Yamaha
29,Hero Honda Splendor NXG,21000.0,2009,Individual,1st owner,10000,,16,2,625.0,52.083,Hero Honda
30,Hero Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,8,1,312.5,26.042,Hero
31,Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,12,15,6250.0,520.833,Yamaha
32,Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,9,10,5555.556,462.963,Hero
33,Honda X-Blade,65000.0,2018,Individual,1st owner,27000,,7,6,3857.143,321.429,Honda
34,Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,6,2,1666.667,138.889,Honda
35,Honda Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,7,2,928.857,77.405,Honda
36,Hero Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,7,5,3000.0,250.0,Hero
37,Honda CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,9,4,1777.778,148.148,Honda
38,Hero Honda Passion PRO [2012],30000.0,2011,Individual,1st owner,42000,,14,9,3000.0,250.0,Hero Honda
39,Royal Enfield Thunderbird 350,90000.0,2015,Individual,3rd owner,13000,,10,3,1300.0,108.333,Royal Enfield
40,Bajaj Dominar 400,125000.0,2017,Individual,1st owner,12800,,8,3,1600.0,133.333,Bajaj
41,Hero Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,7,4,2857.143,238.095,Hero
42,KTM 390 Duke,175000.0,2017,Individual,1st owner,4600,,8,1,575.0,47.917,KTM
43,Hero Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,13,17,6230.769,519.231,Hero
44,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,7,2,1142.857,95.238,Yamaha
45,Hero Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,9,11,6111.111,509.259,Hero
46,Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,14,12,4071.429,339.286,Bajaj
47,Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,16,6,1625.0,135.417,Yamaha
48,Yamaha Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,7,3,1857.143,154.762,Yamaha
49,Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,13,6,2230.769,185.897,Yamaha
50,Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,15,9,2866.667,238.889,Bajaj
51,Honda CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,10,8,4000.0,333.333,Honda
52,Royal Enfield Electra 5 S,90000.0,2010,Individual,2nd owner,40000,,15,8,2666.667,222.222,Royal Enfield
53,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,10,5,2400.0,200.0,Hero
54,Honda Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,6,1,500.0,41.667,Honda
55,Hero Honda Passion Plus,25000.0,2006,Individual,1st owner,75000,,19,15,3947.368,328.947,Hero Honda
56,Bajaj Pulsar 150,25000.0,2010,Individual,1st owner,42000,,15,9,2800.0,233.333,Bajaj
57,Royal Enfield Bullet 350,90000.0,2014,Individual,1st owner,13000,,11,3,1181.818,98.485,Royal Enfield
58,Bajaj Discover 125,25000.0,2013,Individual,1st owner,55000,57549.0,12,11,4583.333,381.944,Bajaj
59,Bajaj Pulsar 150 [2001-2011],42000.0,2011,Individual,1st owner,23000,,14,5,1642.857,136.905,Bajaj
60,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,51994.0,10,5,2400.0,200.0,Hero
61,Hero Xtreme Sports,50000.0,2014,Individual,1st owner,80000,80350.0,11,16,7272.727,606.061,Hero
62,Honda Activa 3G,30000.0,2015,Individual,1st owner,39000,54605.0,10,8,3900.0,325.0,Honda
63,Yamaha FZ16,48000.0,2016,Individual,1st owner,20000,78712.0,9,4,2222.222,185.185,Yamaha
64,Honda CB Hornet 160R,65000.0,2016,Individual,1st owner,30000,88161.0,9,6,3333.333,277.778,Honda
65,Royal Enfield Thunderbird 350,85000.0,2013,Individual,1st owner,21000,,12,5,1750.0,145.833,Royal Enfield
66,Hero Hunk,45000.0,2014,Individual,1st owner,41000,78513.0,11,9,3727.273,310.606,Hero
67,Suzuki Let''s,34000.0,2014,Individual,1st owner,8000,50098.0,11,2,727.273,60.606,Suzuki
68,Royal Enfield Electra 4 S,90000.0,2008,Individual,1st owner,50000,,17,10,2941.176,245.098,Royal Enfield
69,TVS Scooty Pep Plus,35000.0,2012,Individual,1st owner,8150,,13,2,626.923,52.244,TVS
70,Mahindra Mojo XT300,165000.0,2017,Individual,1st owner,1933,195500.0,8,1,241.625,20.135,Mahindra
71,TVS Apache RTR 160,35000.0,2013,Individual,1st owner,55750,,12,12,4645.833,387.153,TVS
72,Bajaj Pulsar AS200,65000.0,2015,Individual,1st owner,15856,92074.0,10,4,1585.6,132.133,Bajaj
73,Bajaj Pulsar 150,29500.0,2013,Individual,1st owner,27000,,12,6,2250.0,187.5,Bajaj
74,Royal Enfield Thunderbird 350X,165000.0,2019,Individual,1st owner,3700,164004.0,6,1,616.667,51.389,Royal Enfield
75,Suzuki Intruder 150,95000.0,2018,Individual,1st owner,21938,,7,5,3134.0,261.167,Suzuki
76,Hero Honda Karizma ZMR [2010],50000.0,2010,Individual,1st owner,48000,,15,10,3200.0,266.667,Hero Honda
77,Honda Dio,7500.0,2009,Individual,2nd owner,16000,,16,4,1000.0,83.333,Honda
78,Bajaj Xcd,25000.0,2008,Individual,1st owner,54000,,17,11,3176.471,264.706,Bajaj
79,Hero Splendor Plus,35000.0,2014,Individual,2nd owner,35000,,11,7,3181.818,265.151,Hero
80,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,15000,,7,3,2142.857,178.571,Royal Enfield
81,Honda CB Unicorn 150,50000.0,2014,Individual,1st owner,32000,74295.0,11,7,2909.091,242.424,Honda
82,Honda Activa 5G,62000.0,2019,Individual,1st owner,3500,57557.0,6,1,583.333,48.611,Honda
83,Honda CB Twister,30000.0,2013,Individual,1st owner,9000,53857.0,12,2,750.0,62.5,Honda
84,Hero Splendor PRO,28000.0,2015,Individual,1st owner,38000,49642.0,10,8,3800.0,316.667,Hero
85,Hero Honda CD Deluxe,25000.0,2009,Individual,1st owner,50000,,16,10,3125.0,260.417,Hero Honda
86,Honda Activa i [2016-2017],30000.0,2015,Individual,2nd owner,20000,51112.0,10,4,2000.0,166.667,Honda
87,Royal Enfield Classic Gunmetal Grey,140000.0,2018,Individual,1st owner,22000,148114.0,7,5,3142.857,261.905,Royal Enfield
88,TVS Scooty Zest 110,30000.0,2017,Individual,1st owner,9432,53751.0,8,2,1179.0,98.25,TVS
89,Hero CD Deluxe,25000.0,2014,Individual,1st owner,70000,,11,14,6363.636,530.303,Hero
90,Suzuki Access 125 [2007-2016],22000.0,2010,Individual,2nd owner,43000,58314.0,15,9,2866.667,238.889,Suzuki
91,Honda Activa [2000-2015],22989.0,2012,Individual,1st owner,500000,50267.0,13,100,38461.538,3205.128,Honda
92,Honda Activa 125 [2016-2017],42000.0,2016,Individual,1st owner,30514,61653.0,9,7,3390.444,282.537,Honda
93,Suzuki GS150R,30000.0,2010,Individual,1st owner,130000,70851.0,15,26,8666.667,722.222,Suzuki
94,Bajaj Pulsar 220S,55000.0,2015,Individual,1st owner,45000,,10,9,4500.0,375.0,Bajaj
95,Honda Activa 4G,45000.0,2018,Individual,1st owner,25000,53079.0,7,5,3571.429,297.619,Honda
96,Yamaha FZ25,150000.0,2019,Individual,1st owner,2500,133680.0,6,1,416.667,34.722,Yamaha
97,Bajaj Pulsar 150,42000.0,2015,Individual,1st owner,22770,,10,5,2277.0,189.75,Bajaj
98,Hero Splendor Plus,30000.0,2015,Individual,1st owner,30000,,10,6,3000.0,250.0,Hero
99,Bajaj Discover 100,24999.0,2012,Individual,2nd owner,35000,42859.0,13,7,2692.308,224.359,Bajaj
100,Royal Enfield Thunderbird 350X,160000.0,2019,Individual,1st owner,6330,,6,2,1055.0,87.917,Royal Enfield
101,Royal Enfield Classic 350,175000.0,2020,Individual,1st owner,500,,5,1,100.0,8.333,Royal Enfield
102,Bajaj Pulsar 150,40000.0,2013,Individual,1st owner,43400,,12,9,3616.667,301.389,Bajaj
103,Bajaj Pulsar NS160,85000.0,2018,Individual,1st owner,7004,,7,2,1000.571,83.381,Bajaj
104,Royal Enfield Classic Desert Storm,150000.0,2017,Individual,1st owner,16500,181445.0,8,4,2062.5,171.875,Royal Enfield
105,Suzuki Gixxer SF,80000.0,2018,Individual,1st owner,12500,,7,3,1785.714,148.809,Suzuki
106,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,7,2,1371.429,114.286,TVS
107,Bajaj V15,42000.0,2016,Individual,1st owner,35000,65626.0,9,7,3888.889,324.074,Bajaj
108,TVS XL 100 Heavy Duty,40000.0,2019,Individual,1st owner,11000,,6,3,1833.333,152.778,TVS
109,Yamaha FZ S V 2.0,50000.0,2015,Individual,1st owner,20000,84042.0,10,4,2000.0,166.667,Yamaha
110,Hero HF Deluxe,40000.0,2018,Individual,1st owner,13000,,7,3,1857.143,154.762,Hero
111,Aprilia SR 125,75000.0,2019,Individual,1st owner,3500,,6,1,583.333,48.611,Aprilia
112,Yamaha FZ25,120000.0,2017,Individual,1st owner,9000,132680.0,8,2,1125.0,93.75,Yamaha
113,Hero Honda Glamour,30000.0,2008,Individual,1st owner,7500,,17,2,441.176,36.765,Hero Honda
114,Bajaj Discover 125 ST,17500.0,2013,Individual,1st owner,38000,58438.0,12,8,3166.667,263.889,Bajaj
115,Hero Honda Passion Plus,7500.0,2004,Individual,1st owner,120000,,21,24,5714.286,476.19,Hero Honda
116,Honda Aviator,57000.0,2018,Individual,1st owner,6465,61118.0,7,2,923.571,76.964,Honda
117,Vespa SXL 149,80000.0,2018,Individual,1st owner,18803,,7,4,2686.143,223.845,Vespa
118,TVS Scooty Pep Plus,18000.0,2010,Individual,1st owner,20000,,15,4,1333.333,111.111,TVS
119,Hero Xtreme [2013-2014],25000.0,2013,Individual,1st owner,24000,75936.0,12,5,2000.0,166.667,Hero
120,Royal Enfield Thunderbird 350,83900.0,2014,Individual,2nd owner,22000,,11,5,2000.0,166.667,Royal Enfield
121,UM Renegade Commando,160000.0,2018,Individual,1st owner,7000,180525.0,7,2,1000.0,83.333,UM
122,Royal Enfield Classic Gunmetal Grey,135000.0,2018,Individual,1st owner,6100,148114.0,7,2,871.429,72.619,Royal Enfield
123,Honda CB Hornet 160R,55000.0,2017,Individual,1st owner,14000,87543.0,8,3,1750.0,145.833,Honda
124,Honda Shine,50000.0,2017,Individual,1st owner,23000,,8,5,2875.0,239.583,Honda
125,Bajaj Discover 100,20000.0,2012,Individual,1st owner,85000,42859.0,13,17,6538.462,544.872,Bajaj
126,Hero Honda CBZ extreme,25000.0,2010,Individual,1st owner,40000,,15,8,2666.667,222.222,Hero Honda
127,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,18000,,8,4,2250.0,187.5,Royal Enfield
128,Honda Activa 5G,55000.0,2019,Individual,1st owner,10000,57557.0,6,2,1666.667,138.889,Honda
129,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,40000,80435.0,9,8,4444.444,370.37,Bajaj
130,Royal Enfield Continental GT 650,299000.0,2019,Individual,1st owner,1500,,6,1,250.0,20.833,Royal Enfield
131,Honda Activa 3G,60000.0,2015,Individual,1st owner,30000,54605.0,10,6,3000.0,250.0,Honda
132,Honda Activa 3G,40000.0,2015,Individual,1st owner,3000,54605.0,10,1,300.0,25.0,Honda
133,Bajaj Pulsar 180,15000.0,2008,Individual,1st owner,55000,85011.0,17,11,3235.294,269.608,Bajaj
134,Harley-Davidson Street Bob,750000.0,2013,Individual,2nd owner,12000,1278000.0,12,3,1000.0,83.333,Harley-Davidson
135,Hero Honda CBZ extreme,20000.0,2007,Individual,1st owner,90000,,18,18,5000.0,416.667,Hero Honda
136,Royal Enfield Classic Gunmetal Grey,190000.0,2020,Individual,1st owner,500,155740.0,5,1,100.0,8.333,Royal Enfield
137,KTM 390 Duke ABS [2013-2016],130000.0,2015,Individual,1st owner,50000,202127.0,10,10,5000.0,416.667,KTM
138,Honda CB Hornet 160R,54786.0,2016,Individual,1st owner,25000,88161.0,9,5,2777.778,231.481,Honda
139,KTM 200 Duke,72000.0,2013,Individual,1st owner,36500,,12,8,3041.667,253.472,KTM
140,Hero Karizma 2014,35000.0,2013,Individual,1st owner,26000,86744.0,12,6,2166.667,180.556,Hero
141,Hero Glamour 125,45000.0,2017,Individual,1st owner,18000,61600.0,8,4,2250.0,187.5,Hero
142,Royal Enfield Classic 350,85000.0,2013,Individual,1st owner,49000,,12,10,4083.333,340.278,Royal Enfield
143,Royal Enfield Classic 500,100000.0,2013,Individual,1st owner,18000,156304.0,12,4,1500.0,125.0,Royal Enfield
144,Bajaj Dominar 400,138000.0,2017,Individual,1st owner,15000,,8,3,1875.0,156.25,Bajaj
145,Royal Enfield Thunderbird 350X,150000.0,2018,Individual,1st owner,8500,,7,2,1214.286,101.191,Royal Enfield
146,KTM RC 390,180000.0,2017,Individual,1st owner,3775,,8,1,471.875,39.323,KTM
147,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,14500,,10,3,1450.0,120.833,Royal Enfield
148,Hero Hunk,20000.0,2010,Individual,1st owner,35000,78513.0,15,7,2333.333,194.444,Hero
149,KTM 390 Duke,170000.0,2017,Individual,1st owner,14000,,8,3,1750.0,145.833,KTM
150,Suzuki Gixxer [2014-2018],60000.0,2016,Individual,1st owner,16000,84246.0,9,4,1777.778,148.148,Suzuki
151,Royal Enfield Bullet 350,123000.0,2016,Individual,1st owner,7000,,9,2,777.778,64.815,Royal Enfield
152,Suzuki Access 125,60000.0,2017,Individual,1st owner,4000,,8,1,500.0,41.667,Suzuki
153,TVS Apache RTR 200 4V,100000.0,2017,Individual,1st owner,45000,,8,9,5625.0,468.75,TVS
154,Hero Xtreme Sports,22000.0,2014,Individual,1st owner,99000,78350.0,11,20,9000.0,750.0,Hero
155,Honda Activa [2000-2015],30000.0,2014,Individual,1st owner,52000,50267.0,11,11,4727.273,393.939,Honda
156,Bajaj Discover 125,28000.0,2013,Individual,1st owner,45000,60122.0,12,9,3750.0,312.5,Bajaj
157,Bajaj Pulsar 150,50000.0,2007,Individual,1st owner,52000,,18,11,2888.889,240.741,Bajaj
158,Yamaha Saluto RX,40000.0,2017,Individual,1st owner,27000,49521.0,8,6,3375.0,281.25,Yamaha
159,Hero HF Deluxe,43000.0,2018,Individual,1st owner,60000,,7,12,8571.429,714.286,Hero
160,Suzuki Access 125,40000.0,2015,Individual,1st owner,2300,,10,1,230.0,19.167,Suzuki
161,Royal Enfield Classic Desert Storm,100000.0,2012,Individual,1st owner,15000,181445.0,13,3,1153.846,96.154,Royal Enfield
162,Hero HF Deluxe,30000.0,2016,Individual,1st owner,50000,,9,10,5555.556,462.963,Hero
163,KTM RC 200,130000.0,2017,Individual,1st owner,27000,,8,6,3375.0,281.25,KTM
164,Honda CB Hornet 160R,48000.0,2016,Individual,2nd owner,25000,88161.0,9,5,2777.778,231.481,Honda
165,Bajaj CT 100,32000.0,2017,Individual,1st owner,40000,,8,8,5000.0,416.667,Bajaj
166,Hero Honda Pleasure,23000.0,2010,Individual,1st owner,32000,,15,7,2133.333,177.778,Hero Honda
167,Bajaj Pulsar 135 LS,20000.0,2010,Individual,2nd owner,50000,64589.0,15,10,3333.333,277.778,Bajaj
168,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,36000,,8,8,4500.0,375.0,Royal Enfield
169,Honda Navi [2016-2017],23000.0,2016,Individual,1st owner,17450,44389.0,9,4,1938.889,161.574,Honda
170,Bajaj Discover 125,15000.0,2011,Individual,1st owner,32000,57549.0,14,7,2285.714,190.476,Bajaj
171,Yamaha SZ RR V 2.0,35000.0,2015,Individual,1st owner,38000,69983.0,10,8,3800.0,316.667,Yamaha
172,Bajaj Discover 150,25000.0,2014,Individual,2nd owner,71000,54299.0,11,15,6454.545,537.879,Bajaj
173,Bajaj Pulsar 150,80000.0,2019,Individual,1st owner,8000,,6,2,1333.333,111.111,Bajaj
174,TVS Flame,15000.0,2010,Individual,1st owner,12000,,15,3,800.0,66.667,TVS
175,Vespa VX 125,45000.0,2013,Individual,2nd owner,50000,72303.0,12,10,4166.667,347.222,Vespa
176,Yamaha SZ X,25000.0,2012,Individual,2nd owner,30000,65800.0,13,6,2307.692,192.308,Yamaha
177,Honda CBF Stunner,35000.0,2013,Individual,1st owner,15888,58757.0,12,4,1324.0,110.333,Honda
178,Bajaj Discover 100 T,25000.0,2013,Individual,1st owner,26000,47032.0,12,6,2166.667,180.556,Bajaj
179,Royal Enfield Classic 350,170000.0,2018,Individual,1st owner,5600,,7,2,800.0,66.667,Royal Enfield
180,Honda Activa [2000-2015],25000.0,2014,Individual,1st owner,41000,50267.0,11,9,3727.273,310.606,Honda
181,Royal Enfield Electra 5 S,60000.0,2007,Individual,2nd owner,19612,,18,4,1089.556,90.796,Royal Enfield
182,Bajaj Pulsar 150,41000.0,2012,Individual,1st owner,17000,,13,4,1307.692,108.974,Bajaj
183,Honda Shine,35000.0,2012,Individual,1st owner,33700,,13,7,2592.308,216.026,Honda
184,Honda CB Unicorn 160,75000.0,2015,Individual,1st owner,100000,79233.0,10,20,10000.0,833.333,Honda
185,Honda Activa 3G,47999.0,2016,Individual,1st owner,6000,54605.0,9,2,666.667,55.556,Honda
186,Honda Shine,36999.0,2011,Individual,1st owner,21000,,14,5,1500.0,125.0,Honda
187,Bajaj Pulsar 180,25000.0,2007,Individual,1st owner,80000,85011.0,18,16,4444.444,370.37,Bajaj
188,Suzuki Gixxer SF,60000.0,2016,Individual,1st owner,15000,,9,3,1666.667,138.889,Suzuki
189,Honda CB Unicorn 150,50000.0,2007,Individual,1st owner,46000,74295.0,18,10,2555.556,212.963,Honda
190,Yamaha YZF R15 [2011-2018],65000.0,2013,Individual,1st owner,11000,118997.0,12,3,916.667,76.389,Yamaha
191,TVS Sport,12000.0,2007,Individual,1st owner,72000,,18,15,4000.0,333.333,TVS
192,Bajaj Pulsar AS200,60000.0,2015,Individual,1st owner,50000,92074.0,10,10,5000.0,416.667,Bajaj
193,Honda Activa [2000-2015],20000.0,2010,Individual,1st owner,50000,50267.0,15,10,3333.333,277.778,Honda
194,Yamaha FZ16,27000.0,2011,Individual,1st owner,67000,78712.0,14,14,4785.714,398.81,Yamaha
195,Bajaj Boxer,10000.0,2000,Individual,1st owner,30000,,25,6,1200.0,100.0,Bajaj
196,Hero Honda Hunk,56000.0,2015,Individual,1st owner,48000,,10,10,4800.0,400.0,Hero Honda
197,Hero Honda Hunk,58000.0,2015,Individual,1st owner,48000,,10,10,4800.0,400.0,Hero Honda
198,Bajaj Avenger Cruise 220,87000.0,2018,Individual,1st owner,8000,,7,2,1142.857,95.238,Bajaj
199,Yamaha Ray Z,35000.0,2015,Individual,1st owner,15500,52949.0,10,4,1550.0,129.167,Yamaha
200,Bajaj Pulsar 180,35000.0,2012,Individual,1st owner,45000,85011.0,13,9,3461.538,288.462,Bajaj
201,Bajaj Discover 150F,40000.0,2014,Individual,2nd owner,60855,64071.0,11,13,5532.273,461.023,Bajaj
202,Bajaj Pulsar 135 LS,56000.0,2017,Individual,3rd owner,37714,64589.0,8,8,4714.25,392.854,Bajaj
203,Bajaj Pulsar 180,30000.0,2008,Individual,2nd owner,60000,85011.0,17,12,3529.412,294.118,Bajaj
204,Honda Activa 125 [2016-2017],40000.0,2017,Individual,1st owner,26000,61545.0,8,6,3250.0,270.833,Honda
205,Hero HF Deluxe,60000.0,2019,Individual,1st owner,6000,,6,2,1000.0,83.333,Hero
206,Hero Karizma 2014,40000.0,2013,Individual,1st owner,30000,86744.0,12,6,2500.0,208.333,Hero
207,Bajaj Platina 100,40000.0,2018,Individual,1st owner,17000,,7,4,2428.571,202.381,Bajaj
208,Royal Enfield Bullet 500,130000.0,2015,Individual,1st owner,34601,168482.0,10,7,3460.1,288.342,Royal Enfield
209,Bajaj Pulsar AS200,45000.0,2015,Individual,1st owner,48000,92074.0,10,10,4800.0,400.0,Bajaj
210,Yamaha FZ S [2012-2016],42000.0,2013,Individual,1st owner,60000,79432.0,12,12,5000.0,416.667,Yamaha
211,Bajaj Pulsar 220 Fi,25000.0,2012,Individual,1st owner,44000,,13,9,3384.615,282.051,Bajaj
212,Bajaj Pulsar 150,15000.0,2006,Individual,1st owner,55000,,19,11,2894.737,241.228,Bajaj
213,Bajaj Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,7,4,2285.714,190.476,Bajaj
214,Hero Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,9,4,2222.222,185.185,Hero
215,Yamaha FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,10,4,1750.0,145.833,Yamaha
216,TVS Apache RTR 160,65000.0,2017,Individual,1st owner,46000,,8,10,5750.0,479.167,TVS
217,Bajaj Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,14,6,2142.857,178.571,Bajaj
218,Bajaj Pulsar 150,70000.0,2019,Individual,1st owner,6500,,6,2,1083.333,90.278,Bajaj
219,Hero Honda Glamour,15000.0,2006,Individual,1st owner,80000,,19,16,4210.526,350.877,Hero Honda
220,Hero Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,8,2,1250.0,104.167,Hero
221,Royal Enfield Classic 350,145000.0,2017,Individual,1st owner,2200,,8,1,275.0,22.917,Royal Enfield
222,Yamaha FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,17,8,2352.941,196.078,Yamaha
223,Hero Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,9,5,2333.333,194.444,Hero
224,Royal Enfield Bullet 350 [2007-2011],90000.0,2007,Individual,1st owner,3500,,18,1,194.444,16.204,Royal Enfield
225,Hero Honda Passion,9000.0,2002,Individual,2nd owner,66191,,23,14,2877.87,239.822,Hero Honda
226,Bajaj Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,11,10,4545.455,378.788,Bajaj
227,TVS Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,10,7,3280.0,273.333,TVS
228,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,9,7,3555.556,296.296,Bajaj
229,Yamaha Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,6,1,650.0,54.167,Yamaha
230,Honda Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,11,2,909.091,75.758,Honda
231,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,7,2,1371.429,114.286,TVS
232,Honda Shine,30000.0,2010,Individual,1st owner,46782,,15,10,3118.8,259.9,Honda
233,Honda CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,6,2,1333.333,111.111,Honda
234,Honda Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,8,3,1375.0,114.583,Honda
235,Hero Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,11,11,4636.364,386.364,Hero
236,Bajaj Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,12,9,3750.0,312.5,Bajaj
237,Honda Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,17,14,3882.353,323.529,Honda
238,Hero Splendor Plus,17000.0,2010,Individual,2nd owner,50000,,15,10,3333.333,277.778,Hero
239,Royal Enfield Thunderbird 350,125000.0,2017,Individual,1st owner,23500,,8,5,2937.5,244.792,Royal Enfield
240,Bajaj CT 110,20000.0,2015,Individual,1st owner,25000,,10,5,2500.0,208.333,Bajaj
241,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,8,9,5125.0,427.083,Hero
242,KTM RC 390,210000.0,2017,Individual,1st owner,12000,,8,3,1500.0,125.0,KTM
243,Bajaj Pulsar 220F,70000.0,2018,Individual,1st owner,33000,,7,7,4714.286,392.857,Bajaj
244,Hero Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,8,3,1875.0,156.25,Hero
245,Bajaj Xcd,10000.0,2008,Individual,1st owner,50000,,17,10,2941.176,245.098,Bajaj
